City and state, Rank based on resident population 2005, Median household income (dollars), Median family income  (dollars), Per capita income  (dollars), Individuals for  whom poverty status determined (number), Families for  whom poverty status determined (number), Total individual below povery level, Total familes below povery level, Percent individual below povery level, Percent familes below povery level
086,364.0,93133.0,95122.0,30574.0,80852.0,-1.0,2356.0,-1.0,2.913966259,-1.0
087,84.0,55610.0,60032.0,24742.0,211621.0,53686.0,19155.0,4189.0,9.051559155,7.802779123
088,340.0,40868.0,43662.0,13244.0,83495.0,18422.0,15662.0,3254.0,18.75800946,17.66366301
089,59.0,29554.0,38763.0,20593.0,287276.0,68360.0,71767.0,13456.0,24.98189894,19.68402575
090,356.0,49636.0,58428.0,23598.0,81496.0,-1.0,5774.0,-1.0,7.085010307,-1.0
091,227.0,44384.0,50228.0,19622.0,106581.0,29468.0,11519.0,2297.0,10.80774247,7.794896159
092,220.0,40250.0,50056.0,25052.0,108296.0,26580.0,11902.0,2531.0,10.99024895,9.522197141
093,41.0,24105.0,28990.0,14825.0,412601.0,97659.0,133886.0,27977.0,32.44926697,28.64764128
094,415.0,49325.0,62348.0,27015.0,72667.0,-1.0,6427.0,-1.0,8.844454842,-1.0
095,254.0,47993.0,60387.0,26107.0,98753.0,27057.0,10795.0,2671.0,10.93131348,9.871752227
096,367.0,56863.0,67947.0,24799.0,80387.0,-1.0,9923.0,-1.0,12.34403573,-1.0
097,466.0,24218.0,58217.0,18770.0,65177.0,-1.0,25536.0,-1.0,39.17946515,-1.0
098,43.0,47854.0,59886.0,26001.0,374603.0,95388.0,43780.0,9297.0,11.68703935,9.746508995
099,277.0,80720.0,98154.0,39661.0,93637.0,-1.0,3781.0,-1.0,4.037933723,-1.0
100,355.0,37051.0,55320.0,24535.0,82103.0,19923.0,16669.0,1769.0,20.3025468,8.879184862
101,311.0,34196.0,47811.0,26416.0,88450.0,21402.0,17230.0,2546.0,19.47993217,11.89608448
102,123.0,34040.0,41861.0,19821.0,175858.0,47567.0,34505.0,9361.0,19.62094417,19.67960981
103,15.0,40405.0,47229.0,22134.0,691935.0,170944.0,128163.0,24089.0,18.52240456,14.09174934
104,260.0,39009.0,42800.0,12617.0,97173.0,20023.0,21272.0,4438.0,21.89085446,22.16451081
105,201.0,60458.0,65861.0,27830.0,116160.0,-1.0,10898.0,-1.0,9.381887052,-1.0
106,186.0,63197.0,70723.0,29242.0,127130.0,34734.0,8157.0,1963.0,6.416266814,5.651523003
107,133.0,68049.0,71850.0,25499.0,161692.0,38255.0,11697.0,2422.0,7.234124137,6.331198536
108,63.0,39698.0,44773.0,20039.0,279129.0,70302.0,51866.0,10198.0,18.58137277,14.50598845
109,228.0,53361.0,54053.0,26762.0,105018.0,-1.0,12531.0,-1.0,11.93224019,-1.0
110,390.0,56070.0,66863.0,26422.0,76570.0,-1.0,4676.0,-1.0,6.106830351,-1.0
111,459.0,75564.0,80955.0,26955.0,65773.0,-1.0,2931.0,-1.0,4.456235841,-1.0
112,9.0,36403.0,38717.0,24477.0,1139549.0,256398.0,251987.0,48157.0,22.11287097,18.78212779
